ZCTA,total_land_area,block_count
94501,20529640,787
94502,6532312,142
94505,1679865,7
94514,13616872,17
94536,36459294,604
94538,42832514,623
94539,64943554,546
94541,19306657,519
94542,22411610,131
94544,28365189,684
94545,37502643,366
94546,41329607,343
94550,431088549,888
94551,135037835,650
94552,134161788,234
94555,35885291,345
94560,51997359,509
94566,52631419,527
94568,42720484,638
94577,21016638,578
94578,11806793,383
94579,8100531,235
94580,8604834,260
94586,144330278,105
94587,50844440,665
94588,43163791,433
94601,8285982,451
94602,9421093,300
94603,6988064,353
94605,22868772,535
94606,6024504,437
94607,15258484,603
94608,7126847,448
94609,4313162,298
94610,5416591,300
94611,17953664,448
94612,2481822,230
94613,634710,8
94618,6275697,245
94619,21615279,294
94621,22050252,411
94702,3320290,269
94703,3335069,232
94704,2204235,163
94705,8755941,205
94706,3781595,211
94707,2957605,166
94708,3591806,154
94709,1749787,116
94710,5594277,233
94720,1823504,18
95377,30389850,19
95391,48312605,35
