zcta,median_upload_mbps,mean_upload_mbps,std_upload_mbps,upload_test_count,median_upload_latency_ms,mean_upload_latency_ms,mlab_year,mlab_month
94501,9.32439635603644,47.211161220893615,113.64047168576491,11075,12.012,24.239758193302347,2020,12
94502,5.949182672556094,12.1941392195974,19.395357629035736,801,13.832999999999998,22.745749999999997,2020,12
94505,12.87804261473095,17.692689592874746,18.96342029300092,921,14.0185,22.801250741839763,2020,12
94514,4.082970289140425,4.082970289140425,1.1001436657368522,2,42.736000000000004,42.736000000000004,2020,12
94536,5.6522971748185515,27.055703553264365,80.9475034629397,20755,11.522,22.64678239623197,2020,12
94538,5.875500690897459,35.582781893706354,101.09016362564051,22880,11.436,20.73641383974463,2020,12
94541,5.763236636736727,13.525061766887147,41.19462975321885,12019,10.956,17.925424422593185,2020,12
94542,17.54101440965934,19.71952680328561,16.633560177428976,418,13.339,18.674544827586207,2020,12
94544,5.880527766643547,19.809194720767593,60.69412836130856,7817,12.607,17.401568869565217,2020,12
94545,5.4204181288570155,35.787924516667395,100.84815192373537,2023,8.478,21.68481880024737,2020,12
94546,5.990669764812196,49.556378408403546,124.6048845317581,7221,11.288499999999999,17.01855562106918,2020,12
94551,5.890192791124415,17.494517135286124,53.615119384866475,8266,12.911000000000001,20.54772361809045,2020,12
94552,3.5155357777308387,6.162396232905946,10.10180868509529,492,17.184,32.325,2020,12
94555,5.564690128293941,9.6241798942033,22.31684002224394,5833,12.168,22.308299484004127,2020,12
94560,5.871120921247985,35.25962752053585,94.77496225750527,7639,15.045,42.79099328971649,2020,12
94566,5.912281713976075,16.930965690981054,50.35358211115963,9279,13.889,21.94356158113731,2020,12
94568,7.714704029702608,52.47765215545107,120.35421949133284,16318,10.453,17.544256798930004,2020,12
94577,5.8611802255066525,31.88014414457811,93.54338599210824,5470,8.703,13.78334694327963,2020,12
94578,5.888977226297046,16.50195870477267,50.89751537140258,4042,10.807,15.202197660098522,2020,12
94579,6.497254364204242,47.62007223840601,119.21928337699026,1556,11.783,20.41001069958848,2020,12
94580,5.692857191771129,19.145066519506763,46.99733411550805,907,2.647,8.792928882438318,2020,12
94586,12.56191525626036,19.179049026380817,23.932906878811014,10,13.654,16.172222222222224,2020,12
94587,5.545021794327825,18.823418728825736,61.79638499651077,10083,9.372,16.582724344224577,2020,12
94588,5.666143724311001,12.48348343962328,30.571605169419435,4165,13.616499999999998,19.825793542074365,2020,12
94601,10.96456424123625,87.9536683517344,172.18396717588973,2991,6.581,14.18102243158367,2020,12
94602,5.794359752448424,45.43864438089764,110.66105182827005,5702,11.063,15.05798895212588,2020,12
94603,4.7226757412698115,21.771146467397866,64.46833222507118,1779,14.294,18.09497272727273,2020,12
94605,11.840191161605254,73.88577666437918,153.5747815091953,3647,7.2165,13.199766666666665,2020,12
94606,5.4226078507907935,9.534982456636309,15.82534216936907,6192,12.326,17.7040725526262,2020,12
94607,5.827423610032028,41.237731855155836,89.52168672230816,4294,11.809000000000001,17.41295765998707,2020,12
94608,11.844295359488772,72.78497942256948,148.5399655683401,2254,10.079,21.52810359408034,2020,12
94610,5.930968152812149,20.82503313240565,59.096333815859474,5416,9.893,14.795160670814175,2020,12
94611,8.311763330822771,37.820772400628,99.00801431420874,13656,11.996500000000001,18.414982663605052,2020,12
94612,19.719705018523563,86.68097344313459,156.26631798227083,1738,8.498000000000001,16.34425229357798,2020,12
94613,10.390171749437584,28.369675530365363,84.85071930984485,1773,11.942,16.95125809435708,2020,12
94618,6.1805847613869656,55.90498126694015,128.43422892520462,4730,6.312,11.276792827719893,2020,12
94621,3.796882460744267,9.02892611412182,13.08503320959382,2813,30.824,33.64243418303385,2020,12
94702,28.78204933260239,116.70049808398078,200.0796375697128,636,6.472,21.24437306843267,2020,12
94703,42.48571321417622,127.95722004665676,196.10357735453456,3907,6.948,13.724225172790105,2020,12
94704,72.62080851642123,69.12486173234761,17.25311505707888,7,6.78,23.608428571428572,2020,12
94705,52.76129973256283,154.13521838173986,201.80850369215105,2170,6.902,13.87598090849243,2020,12
94706,28.684888611246304,68.20120302897672,127.24024082722644,593,7.618,11.445130331753555,2020,12
94707,53.909808297182266,115.02634228453864,166.4189424903517,3329,7.241,24.425064347826087,2020,12
94708,8.384505572437284,14.98841451748034,26.307490919926682,1717,12.623,17.39674959216966,2020,12
94709,12.7891731427364,59.808216780175584,129.3641649073945,1745,9.429,16.590909363295882,2020,12
94710,22.31164071261252,96.68639794444981,165.00053004665656,316,10.242,19.4626091954023,2020,12
95377,7.113053592493325,9.318414233972028,7.898994350323241,1534,22.52,42.15781684622919,2020,12
95391,31.77019022482061,113.16847840198294,163.2513256073125,3233,10.923,17.00993188405797,2020,12
