geoid_2010,geoid_2020,AREALAND_INT
060014001001000,060014001001001,503255
060014001001001,060014001001000,22077
060014001001002,060014001001000,20028
060014001001003,060014001001002,999
060014001001004,060014001001002,8331
060014001001005,060014001001010,3254
060014001001006,060014001001010,10892
060014001001007,060014001001003,1208128
060014001001008,060014001001013,22170
060014001001009,060014001001005,163944
060014001001010,060014001001005,41396
060014001001011,060014001001021,8443
060014001001012,060014001001006,105370
060014001001013,060014001001001,70779
060014001001014,060014001001014,165187
060014001001015,060014001001010,144490
060014001001016,060014001001005,57480
060014001001017,060014001001015,52197
060014001001018,060014001001003,22802
060014001001019,060014001001003,446
060014001001020,060014001001007,17595
060014001001021,060014001001008,34695
060014001001022,060014001001004,3524
060014001001023,060014001001018,35698
060014001001024,060014001001018,249431
060014001001025,060014001001018,7561
060014001001026,060014001001019,64142
060014001001027,060014001001011,413299
060014001001028,060014001001011,2574
060014001001029,060014001001011,334924
060014001001030,060014001001010,249788
060014001001031,060014001001012,83280
060014001001032,060014001001020,9496
060014001001033,060014001001023,134201
060014001001034,060014001001025,16045
060014001001035,060014001001023,1072
060014001001036,060014001001026,291826
060014001001037,060014001001030,27502
060014001001038,060014001001011,21868
060014001001039,060014001002001,275249
060014001001040,060014001002000,87357
060014001001041,060014001002002,12427
060014001001042,060014001001024,7823
060014001001043,060014001002001,28246
060014001001044,060014001002003,61255
060014001001045,060014001002004,27803
060014001001046,060014001002005,76704
060014001001047,060014001002018,29725
060014001001048,060014001002020,12652
060014001001049,060014001001030,95828
060014001001050,060014001001028,3847
060014001001051,060014001002018,17080
060014001001052,060014001002008,14001
060014001001053,060014001002008,48718
060014001001054,060014001002010,21692
060014001001055,060014001002011,2771
060014001001056,060014001002007,31354
060014001001057,060014001002006,42542
060014001001058,060014001002013,124424
060014001001059,060014001002012,9356
060014001001060,060014001002014,13076
060014001001061,060014001002009,30026
060014001001062,060014001002015,155097
060014001001063,060014001002016,11834
060014001001064,060014001002016,5604
060014001001065,060014001002017,6626
060014001001066,060014001001022,8342
060014001001067,060014001001031,5460
060014001001068,060014001001032,4914
060014001001069,060014001002021,14654
060014001001070,060014001002021,128
060014001001071,060014001002020,206
060014001001072,060014001001003,974
060014001001073,060014001001005,4066
060014001001074,060014001002019,12522
060014001001075,060014001001017,16649
060014001001076,060014001001016,40330
060014002001000,060014002001000,6721
060014002001001,060014002001001,13267
060014002001002,060014002001003,35195
060014002001003,060014002001005,6794
060014002001004,060014002001006,21187
060014002001005,060014002001007,7591
060014002001006,060014002001008,8807
060014002001007,060014002001009,1204
060014002001008,060014002001016,8523
060014002001009,060014002001017,9747
060014002001010,060014002001010,21060
060014002001011,060014002001011,9239
060014002001012,060014002001012,11702
060014002001013,060014002001013,1813
060014002001014,060014002001021,12898
060014002001015,060014002001014,9867
060014002001016,060014002001014,426
060014002001017,060014002001014,736
060014002001018,060014002001020,1078
060014002001019,060014002001019,17670
060014002001020,060014002001018,39250
060014002001021,060014002001018,791
060014002001022,060014002001015,34926
060014002002000,060014002002000,13972
060014002002001,060014002002002,11710
060014002002002,060014002002003,14515
060014002002003,060014002002004,17545
060014002002004,060014002002005,85997
060014002002005,060014002002006,807
060014002002006,060014002002006,26212
060014002002007,060014002002007,16966
060014002002008,060014002002008,30752
060014002002009,060014002002005,693
060014002002010,060014002002009,10090
060014002002011,060014002002010,10025
060014002002012,060014002002010,9006
060014002002013,060014002002011,10211
060014002002014,060014002002008,357
060014002002015,060014002002012,25000
060014002002016,060014002002012,776
060014002002017,060014002002011,269
060014003001000,060014003001000,11370
060014003001001,060014003001001,12946
060014003001002,060014003001003,13855
060014003001003,060014003001004,19109
060014003001004,060014003001004,323
060014003001005,060014003001003,261
060014003001006,060014003001008,544
060014003001007,060014003001008,22715
060014003001008,060014003001002,28726
060014003001009,060014003001005,20748
060014003001010,060014003001006,41260
060014003001011,060014003001007,27162
060014003001012,060014003001007,605
060014003001013,060014003001006,550
060014003001014,060014003001009,683
060014003001015,060014003001009,35617
060014003001016,060014003001010,28588
060014003001017,060014003001010,633
060014003002000,060014003002000,12672
060014003002001,060014003002001,19483
060014003002002,060014003002002,1686
060014003002003,060014003002003,25129
060014003002004,060014003002004,10395
060014003002005,060014003002006,10506
060014003002006,060014003002007,17514
060014003002007,060014003002008,9724
060014003002008,060014003002010,16374
060014003002009,060014003002011,14185
060014003002010,060014003002012,16318
060014003002011,060014003002013,15637
060014003002012,060014003002013,298
060014003002013,060014003002013,984
060014003002014,060014003002021,574
060014003002015,060014003002021,10909
060014003002016,060014003002021,572
060014003002017,060014003002004,665
060014003002018,060014003002005,26930
060014003002019,060014003002005,767
060014003002020,060014003002016,10798
060014003002021,060014003002017,5337
060014003002022,060014003002020,13734
060014003002023,060014003002015,9888
060014003002024,060014003002016,618
060014003003000,060014003003000,9313
060014003003001,060014003003007,17656
060014003003002,060014003003006,38743
060014003003003,060014003003002,384
060014003003004,060014003003001,3737
060014003003005,060014003003008,20189
060014003003006,060014003003009,15900
060014003003007,060014003003005,34105
060014003003008,060014003003005,612
060014003003009,060014003003003,1303
060014003003010,060014003003004,8785
060014003003011,060014003003004,5616
060014003003012,060014003003002,10215
060014003003013,060014003003002,2085
060014003003014,060014003003016,1115
060014003003015,060014003003015,4366
060014003003016,060014003003014,4393
060014003003017,060014003003014,860
060014003003018,060014003003013,2647
060014003003019,060014003003012,11027
060014003003020,060014003003004,12492
060014003003021,060014003003011,8959
060014003003022,060014003003010,1159
060014003003023,060014003003022,4438
060014003003024,060014003003018,32187
060014003003025,060014003003021,6815
060014003003026,060014003003020,4208
060014003003027,060014003003018,13032
060014003003028,060014003003004,2366
060014003003029,060014003003020,4104
060014003003030,060014003003017,8592
060014003004000,060014003004000,9122
060014003004001,060014003004001,8283
060014003004002,060014003004002,12871
060014003004003,060014003004003,16108
060014003004004,060014003004004,15978
060014003004005,060014003004005,16282
060014003004006,060014003004006,20173
060014003004007,060014003004007,20428
060014003004008,060014003004008,20333
060014003004009,060014003004009,20250
060014003004010,060014003004010,17330
060014003004011,060014003004011,20326
060014003004012,060014003004012,16086
060014003004013,060014003004013,16232
060014003004014,060014003004014,16330
060014003004015,060014003004015,16203
060014003004016,060014003004016,16078
060014004001000,060014004001000,13332
060014004001001,060014004001001,25956
060014004001002,060014004001002,25968
060014004001003,060014004001003,25698
060014004001004,060014004001004,746
060014004001005,060014004001004,19524
060014004001006,060014004001004,584
060014004001007,060014004001005,368
060014004001008,060014004001007,22198
060014004001009,060014004001006,20116
060014004001010,060014004001005,17443
060014004001011,060014004001005,855
060014004001012,060014004001009,20453
060014004001013,060014004001008,21864
060014004001014,060014004001010,21893
060014004001015,060014004001011,22305
060014004002000,060014004002000,24591
060014004002001,060014004002000,2088
060014004002002,060014004002001,9362
060014004002003,060014004002001,715
060014004002004,060014004002002,710
060014004002005,060014004002002,10776
060014004002006,060014004002003,8671
060014004002007,060014004002004,12999
060014004002008,060014004002010,8459
060014004002009,060014004002011,12902
060014004002010,060014004002011,814
060014004002011,060014004002012,778
060014004002012,060014004002012,14123
060014004002013,060014004002013,11378
060014004002014,060014004002009,9059
060014004002015,060014004002006,6583
060014004002016,060014004002007,8297
060014004002017,060014004002017,21916
060014004002018,060014004002018,17337
060014004002019,060014004002015,36830
060014004002020,060014004002016,6273
060014004003000,060014004003003,9395
060014004003001,060014004003003,34862
060014004003002,060014004003002,10801
060014004003003,060014004003004,19488
060014004003004,060014004003005,1071
060014004003005,060014004003003,796
060014004003006,060014004003004,953
060014004003007,060014004003002,745
060014004003008,060014004003006,1536
060014004003009,060014004003006,31678
060014004003010,060014004003006,690
060014004003011,060014004003007,10024
060014004003012,060014004003008,10150
060014004003013,060014004003009,22093
060014004003014,060014004003010,5839
060014004003015,060014004003010,716
060014004003016,060014004003006,732
060014004003017,060014004003011,724
060014004003018,060014004003011,7586
060014004003019,060014004003012,22450
060014005001000,060014005001000,10799
060014005001001,060014005001001,20521
060014005001002,060014005001001,251
060014005001003,060014005001004,782
060014005001004,060014005001004,49633
060014005001005,060014005001005,12890
060014005001006,060014005001003,21132
060014005001007,060014005001003,16833
060014005001008,060014005001003,462
060014005001009,060014005001007,2001
060014005001010,060014005001006,379
060014005001011,060014005001003,792
060014005001012,060014005001006,14662
060014005001013,060014005001009,13631
060014005001014,060014005001008,25227
060014005001015,060014005001008,518
060014005001016,060014005001011,23567
060014005001017,060014005001011,396
060014005001018,060014005001012,21919
060014005001019,060014005001010,11430
060014005001020,060014005001013,9566
060014005001021,060014005001014,7474
060014005001022,060014005001012,534
060014005001023,060014005001016,307
060014005001024,060014005001015,9368
060014005001025,060014005001016,80047
060014005001026,060014005001016,468
060014005001027,060014005001017,1078
060014005001028,060014005001004,570
060014005002000,060014005002000,23500
060014005002001,060014005002001,4171
060014005002002,060014005002002,22710
060014005002003,060014005002003,22732
060014005002004,060014005002004,22359
060014005002005,060014005002005,14466
060014005002006,060014005002006,12571
060014005002007,060014005002007,13270
060014005003000,060014005003000,14602
060014005003001,060014005003001,14635
060014005003002,060014005003002,6200
060014005003003,060014005003003,10291
060014005003004,060014005003004,21357
060014005003005,060014005003005,1586
060014005003006,060014005003006,20849
060014005003007,060014005003007,2181
060014006001000,060014006001000,1952
060014006001001,060014006001001,36206
060014006001002,060014006001001,929
060014006001003,060014006001002,16861
060014006001004,060014006001003,9818
060014006001005,060014006001004,10309
060014006001006,060014006001005,16611
060014006001007,060014006001005,808
060014006001008,060014006001006,18080
060014006001009,060014006001007,7522
060014006001010,060014006001008,10996
060014006001011,060014006001009,19205
060014006001012,060014006001009,597
060014006001013,060014006001010,16695
060014006002000,060014006002000,5800
060014006002001,060014006002001,15098
060014006002002,060014006002001,769
060014006002003,060014006002002,20807
060014006002004,060014006002003,20275
060014006002005,060014006002004,815
060014006002006,060014006002004,10747
060014006002007,060014006002007,2563
060014006002008,060014006002006,740
060014006002009,060014006002005,2204
060014006002010,060014006002006,21867
060014006002011,060014006002008,27733
060014006002012,060014006002008,1806
060014007001000,060014007001000,12552
060014007001001,060014007001001,1016
060014007001002,060014007001002,5987
060014007001003,060014007001004,1760
060014007001004,060014240014018,154
060014007001005,060014007001008,20903
060014007001006,060014007001005,14413
060014007001007,060014007001003,1812
060014007001008,060014007001004,4667
060014007001009,060014007001027,9888
060014007001010,060014007001022,9035
060014007001011,060014007001023,4710
060014007001012,060014007001024,4215
060014007001013,060014007001020,4382
060014007001014,060014008001027,1641
060014007001015,060014008002000,3618
060014007001016,060014007001018,2458
060014007001017,060014007001019,1572
060014007001018,060014007001026,1371
060014007001019,060014007001017,7692
060014007001020,060014008002003,3478
060014007001021,060014008002004,1686
060014007001022,060014007001016,19764
060014007001023,060014007001025,1564
060014007001024,060014007001028,2874
060014007001025,060014007001013,642
060014007001026,060014007001013,18781
060014007001027,060014007001013,798
060014007001028,060014007001012,5395
060014007001029,060014007001011,15621
060014007001030,060014007001010,2040
060014007001031,060014007001007,1987
060014007001032,060014007001009,21272
060014007001033,060014007001016,1354
060014007001034,060014008003013,694
060014007001035,060014008003000,3334
060014007001036,060014007001015,2010
060014007001037,060014007001014,2080
060014007002000,060014007002000,20733
060014007002001,060014007002001,1895
060014007002002,060014007002003,13014
060014007002003,060014007002004,8037
060014007002004,060014007002005,8412
060014007002005,060014007002006,989
060014007002006,060014007002006,12784
060014007002007,060014007002006,17564
060014007002008,060014007002007,1322
060014007002009,060014007002008,15686
060014007002010,060014007002009,2250
060014007002011,060014007002020,5117
060014007002012,060014007002010,10573
060014007002013,060014007002011,13073
060014007002014,060014007002012,4956
060014007002015,060014007002013,48731
060014007002016,060014007002014,15554
060014007002017,060014007002015,555
060014007002018,060014007002018,13039
060014007002019,060014007002017,12980
060014007002020,060014007002009,650
060014007002021,060014007002016,528
060014007002022,060014007002016,15222
060014007002023,060014007002019,13180
060014007002024,060014007002006,971
060014007002025,060014007002015,572
060014007003000,060014007003000,18132
060014007003001,060014007003001,1630
060014007003002,060014007003002,13439
060014007003003,060014007003003,15671
060014007003004,060014007003004,589
060014007003005,060014007003004,3625
060014007003006,060014007003005,884
060014007003007,060014007003005,13540
060014007003008,060014007003011,7334
060014007003009,060014007003010,642
060014007003010,060014007003010,8322
060014007003011,060014007003010,727
060014007003012,060014007003009,18398
060014007003013,060014007003008,16259
060014007003014,060014007003007,1854
060014007003015,060014007003006,18006
060014007003016,060014007003010,292
060014007004000,060014007004000,2001
060014007004001,060014007004001,19841
