zcta,BlockCode,TechCode,TechCategory,max_ad_down,max_ad_up
94705,060014001001007,10,Copper (DSL/VDSL),3.0,0.384
94705,060014001001007,11,Copper (DSL/VDSL),1.5,1.0
94705,060014001001007,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001008,11,Copper (DSL/VDSL),1.5,1.0
94705,060014001001008,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001011,11,Copper (DSL/VDSL),1.5,1.0
94705,060014001001011,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001013,11,Copper (DSL/VDSL),18.0,1.5
94705,060014001001013,12,Copper (DSL/VDSL),25.0,5.0
94720,060014001001014,11,Copper (DSL/VDSL),18.0,1.5
94720,060014001001014,12,Copper (DSL/VDSL),50.0,10.0
94704,060014001001015,11,Copper (DSL/VDSL),0.768,0.384
94704,060014001001015,50,Fiber to the Premises,1000.0,1000.0
94704,060014001001017,11,Copper (DSL/VDSL),18.0,1.5
94704,060014001001017,12,Copper (DSL/VDSL),50.0,10.0
94705,060014001001023,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001024,10,Copper (DSL/VDSL),6.0,0.512
94705,060014001001024,11,Copper (DSL/VDSL),18.0,1.5
94705,060014001001024,12,Copper (DSL/VDSL),100.0,20.0
94705,060014001001024,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001025,10,Copper (DSL/VDSL),6.0,0.512
94705,060014001001026,10,Copper (DSL/VDSL),3.0,0.384
94705,060014001001026,11,Copper (DSL/VDSL),18.0,1.5
94705,060014001001026,12,Copper (DSL/VDSL),50.0,10.0
94705,060014001001026,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001027,11,Copper (DSL/VDSL),18.0,1.5
94705,060014001001027,12,Copper (DSL/VDSL),100.0,20.0
94705,060014001001027,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001028,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001032,11,Copper (DSL/VDSL),18.0,1.5
94705,060014001001032,12,Copper (DSL/VDSL),100.0,20.0
94705,060014001001032,50,Fiber to the Premises,1000.0,1000.0
94705,060014001001033,10,Copper (DSL/VDSL),6.0,0.512
94705,060014001001033,11,Copper (DSL/VDSL),18.0,1.5
94705,060014001001033,12,Copper (DSL/VDSL),50.0,10.0
94705,060014001001033,50,Fiber to the Premises,1000.0,1000.0
94618,060014002001000,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001000,12,Copper (DSL/VDSL),50.0,10.0
94618,060014002001000,50,Fiber to the Premises,1000.0,1000.0
94618,060014002001001,10,Copper (DSL/VDSL),3.0,0.384
94618,060014002001001,12,Copper (DSL/VDSL),75.0,20.0
94618,060014002001001,50,Fiber to the Premises,1000.0,1000.0
94618,060014002001002,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001002,12,Copper (DSL/VDSL),50.0,10.0
94618,060014002001002,50,Fiber to the Premises,1000.0,1000.0
94618,060014002001003,10,Copper (DSL/VDSL),1.5,0.256
94618,060014002001003,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001003,12,Copper (DSL/VDSL),50.0,10.0
94705,060014002001004,10,Copper (DSL/VDSL),3.0,0.384
94705,060014002001004,11,Copper (DSL/VDSL),18.0,1.5
94705,060014002001004,12,Copper (DSL/VDSL),75.0,20.0
94705,060014002001005,10,Copper (DSL/VDSL),3.0,0.384
94705,060014002001005,11,Copper (DSL/VDSL),18.0,1.5
94705,060014002001005,12,Copper (DSL/VDSL),75.0,20.0
94618,060014002001006,10,Copper (DSL/VDSL),3.0,0.384
94618,060014002001006,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001006,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001007,10,Copper (DSL/VDSL),1.5,0.256
94618,060014002001007,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001007,12,Copper (DSL/VDSL),50.0,10.0
94618,060014002001008,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001008,12,Copper (DSL/VDSL),50.0,10.0
94618,060014002001009,10,Copper (DSL/VDSL),0.768,0.256
94618,060014002001009,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001009,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001010,10,Copper (DSL/VDSL),3.0,0.384
94618,060014002001010,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001010,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001011,10,Copper (DSL/VDSL),1.5,0.256
94618,060014002001011,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001011,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001012,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001012,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001014,10,Copper (DSL/VDSL),6.0,0.512
94618,060014002001014,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001014,12,Copper (DSL/VDSL),25.0,5.0
94618,060014002001014,50,Fiber to the Premises,1000.0,1000.0
94618,060014002001015,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001015,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001018,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001018,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001019,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001019,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002001020,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002001020,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002002000,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002002000,12,Copper (DSL/VDSL),50.0,10.0
94618,060014002002000,50,Fiber to the Premises,1000.0,1000.0
94618,060014002002001,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002002001,12,Copper (DSL/VDSL),25.0,5.0
94618,060014002002001,50,Fiber to the Premises,1000.0,1000.0
94618,060014002002002,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002002002,12,Copper (DSL/VDSL),50.0,10.0
94618,060014002002003,10,Copper (DSL/VDSL),1.5,0.256
94618,060014002002003,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002002003,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002002004,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002002004,12,Copper (DSL/VDSL),100.0,20.0
94618,060014002002004,50,Fiber to the Premises,1000.0,1000.0
94618,060014002002006,10,Copper (DSL/VDSL),1.5,0.256
94618,060014002002006,11,Copper (DSL/VDSL),18.0,1.5
94618,060014002002006,12,Copper (DSL/VDSL),100.0,20.0
