zcta,TechCategory,block_count,median_advertised_download_mbps,median_advertised_upload_mbps,p75_advertised_download_mbps,p75_advertised_upload_mbps,max_advertised_download_mbps,max_advertised_upload_mbps,cv_advertised_download_mbps,cv_advertised_upload_mbps
94501,Copper (DSL/VDSL),492,50.0,10.0,100.0,20.0,100.0,20.0,0.5430492474500129,0.5704607012548142
94501,Fiber to the Premises,492,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94501,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94502,Copper (DSL/VDSL),108,100.0,20.0,100.0,20.0,100.0,20.0,0.4015189531624935,0.4069797127628513
94502,Fiber to the Premises,19,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94505,Fixed Wireless,4,10.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
94514,Fixed Wireless,5,10.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
94536,Copper (DSL/VDSL),413,75.0,20.0,100.0,20.0,100.0,20.0,0.44910870570675177,0.459132625706878
94536,Fiber to the Premises,190,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94536,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
94538,Copper (DSL/VDSL),357,50.0,10.0,100.0,20.0,100.0,20.0,0.5981078229960904,0.61786534612574
94538,Fiber to the Premises,214,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94538,Fixed Wireless,6,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
94538,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94539,Copper (DSL/VDSL),333,100.0,20.0,100.0,20.0,100.0,20.0,0.4103869422659651,0.41359082539411746
94539,Fiber to the Premises,84,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94541,Copper (DSL/VDSL),361,75.0,20.0,100.0,20.0,100.0,20.0,0.4384739789378859,0.45840706286737376
94541,Fiber to the Premises,268,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94541,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
94542,Copper (DSL/VDSL),72,75.0,20.0,100.0,20.0,100.0,20.0,0.6103680068964455,0.630992711738468
94542,Fiber to the Premises,25,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94542,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
94544,Copper (DSL/VDSL),465,50.0,10.0,100.0,20.0,100.0,20.0,0.5073965656414131,0.520617550748323
94544,Fiber to the Premises,260,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94544,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94545,Copper (DSL/VDSL),233,50.0,10.0,100.0,20.0,100.0,20.0,0.6974384159359424,0.7304087389902792
94545,Fiber to the Premises,103,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94546,Copper (DSL/VDSL),229,100.0,20.0,100.0,20.0,100.0,20.0,0.37017009999919576,0.37225345026327383
94546,Fiber to the Premises,157,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94550,Copper (DSL/VDSL),567,75.0,20.0,100.0,20.0,100.0,20.0,0.5241563413036631,0.5444593619855607
94550,Fiber to the Premises,38,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.1635273259202424,0.16634913130452883
94551,Copper (DSL/VDSL),392,75.0,20.0,100.0,20.0,100.0,20.0,0.5962074725568948,0.6137617990265918
94551,Fiber to the Premises,66,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94552,Copper (DSL/VDSL),107,75.0,20.0,100.0,20.0,100.0,20.0,0.6970893537798326,0.7156619401070372
94552,Fiber to the Premises,12,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94555,Copper (DSL/VDSL),234,100.0,20.0,100.0,20.0,100.0,20.0,0.40746961471556353,0.41073277920319085
94555,Fiber to the Premises,2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94560,Copper (DSL/VDSL),267,75.0,20.0,100.0,20.0,100.0,20.0,0.5060211648660783,0.5157050921070802
94560,Fiber to the Premises,99,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94560,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
94560,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94566,Copper (DSL/VDSL),335,100.0,20.0,100.0,20.0,100.0,20.0,0.5198993127862859,0.5362104784715712
94566,Fiber to the Premises,60,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94566,Fixed Wireless,1,30.0,3.0,30.0,3.0,30.0,3.0,,
94568,Copper (DSL/VDSL),286,100.0,20.0,100.0,20.0,100.0,20.0,0.37716537079569784,0.3806521430094662
94568,Fiber to the Premises,89,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94568,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
94568,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94577,Copper (DSL/VDSL),410,50.0,10.0,100.0,20.0,100.0,20.0,0.556393184495437,0.5700668729759181
94577,Fiber to the Premises,336,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94577,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94578,Copper (DSL/VDSL),255,75.0,20.0,100.0,20.0,100.0,20.0,0.49420216212221335,0.5156222954177648
94578,Fiber to the Premises,150,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94579,Copper (DSL/VDSL),178,75.0,20.0,100.0,20.0,100.0,20.0,0.44219112476760447,0.4500555601185666
94579,Fiber to the Premises,111,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94579,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94580,Copper (DSL/VDSL),211,75.0,20.0,100.0,20.0,100.0,20.0,0.4573811021140138,0.4610741588520618
94580,Fiber to the Premises,141,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94580,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94586,Copper (DSL/VDSL),36,12.0,1.5,25.0,2.0,25.0,2.0,0.6713276713824183,0.3665436634634455
94587,Copper (DSL/VDSL),503,100.0,20.0,100.0,20.0,100.0,20.0,0.44897582181232776,0.4561520526683524
94587,Fiber to the Premises,172,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94587,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
