zcta,advertised_download_mbps,mean_block_best_ad_down,p25_block_best_ad_down,p75_block_best_ad_down,block_count
94501,1000.000000,870.937422,1000.000000,1000.000000,571
94502,100.000000,240.393519,75.000000,100.000000,108
94505,10.000000,10.000000,10.000000,10.000000,4
94514,10.000000,10.000000,10.000000,10.000000,5
94536,100.000000,479.684375,100.000000,1000.000000,437
94538,1000.000000,571.265914,75.000000,1000.000000,395
94539,100.000000,302.976781,75.000000,100.000000,343
94541,1000.000000,720.484334,100.000000,1000.000000,383
94542,100.000000,383.432432,50.000000,1000.000000,74
94544,1000.000000,564.566883,75.000000,1000.000000,487
94545,100.000000,464.484319,50.000000,1000.000000,238
94546,1000.000000,692.809322,100.000000,1000.000000,236
94550,75.000000,125.373106,50.000000,100.000000,575
94551,100.000000,211.005657,50.000000,100.000000,420
94552,75.000000,161.855670,6.000000,100.000000,109
94555,100.000000,83.894757,50.000000,100.000000,235
94560,100.000000,399.080774,62.500000,1000.000000,279
94566,100.000000,233.005988,50.000000,100.000000,346
94568,100.000000,331.266978,75.000000,1000.000000,325
94577,1000.000000,790.385583,1000.000000,1000.000000,432
94578,1000.000000,603.067817,100.000000,1000.000000,262
94579,1000.000000,617.078534,100.000000,1000.000000,191
94580,1000.000000,681.666667,100.000000,1000.000000,216
94586,12.000000,14.543667,4.500000,25.000000,36
94587,100.000000,379.435992,75.000000,1000.000000,527
94588,50.000000,117.315325,18.000000,100.000000,231
94601,1000.000000,786.477690,1000.000000,1000.000000,381
94602,1000.000000,927.028807,1000.000000,1000.000000,243
94603,1000.000000,866.234483,1000.000000,1000.000000,290
94605,1000.000000,852.696970,1000.000000,1000.000000,396
94606,100.000000,442.053521,100.000000,1000.000000,355
94607,100.000000,281.233835,18.000000,100.000000,401
94608,1000.000000,729.992104,100.000000,1000.000000,346
94609,1000.000000,662.359447,100.000000,1000.000000,217
94610,1000.000000,685.919099,100.000000,1000.000000,213
94611,1000.000000,726.845242,100.000000,1000.000000,351
94612,100.000000,353.082278,18.000000,1000.000000,158
94613,1000.000000,1000.000000,1000.000000,1000.000000,1
94618,1000.000000,806.125000,1000.000000,1000.000000,200
94619,1000.000000,862.346154,1000.000000,1000.000000,208
94621,100.000000,405.356075,75.000000,1000.000000,267
94702,100.000000,341.012887,100.000000,1000.000000,194
94703,100.000000,366.802083,75.000000,1000.000000,192
94704,100.000000,282.401639,50.000000,100.000000,122
94705,1000.000000,625.608280,100.000000,1000.000000,157
94706,1000.000000,899.058480,1000.000000,1000.000000,171
94707,100.000000,392.531915,50.000000,1000.000000,141
94708,1000.000000,555.758621,50.000000,1000.000000,116
94709,100.000000,467.433735,100.000000,1000.000000,83
94710,100.000000,221.220682,50.000000,100.000000,176
94720,75.000000,65.692308,50.000000,100.000000,13
95391,10.000000,10.000000,10.000000,10.000000,1
