zcta,median_household_income,median_household_income_moe,acs_end_year,name
94501,96014,3712,2020,ZCTA5 94501
94502,161518,19564,2020,ZCTA5 94502
94505,128865,4748,2020,ZCTA5 94505
94514,82538,39819,2020,ZCTA5 94514
94536,132568,10423,2020,ZCTA5 94536
94538,119206,7640,2020,ZCTA5 94538
94539,188596,6875,2020,ZCTA5 94539
94541,82690,4432,2020,ZCTA5 94541
94542,115956,10534,2020,ZCTA5 94542
94544,89657,4970,2020,ZCTA5 94544
94545,88764,8884,2020,ZCTA5 94545
94546,101445,4983,2020,ZCTA5 94546
94550,150061,4474,2020,ZCTA5 94550
94551,119087,6032,2020,ZCTA5 94551
94552,180681,13686,2020,ZCTA5 94552
94555,161175,7788,2020,ZCTA5 94555
94560,127619,9813,2020,ZCTA5 94560
94566,163499,5373,2020,ZCTA5 94566
94568,148083,5558,2020,ZCTA5 94568
94577,89219,4991,2020,ZCTA5 94577
94578,71758,6551,2020,ZCTA5 94578
94579,91201,10386,2020,ZCTA5 94579
94580,96581,5984,2020,ZCTA5 94580
94586,164063,26301,2020,ZCTA5 94586
94587,120772,5628,2020,ZCTA5 94587
94588,157203,8654,2020,ZCTA5 94588
94601,53433,4332,2020,ZCTA5 94601
94602,107208,9610,2020,ZCTA5 94602
94603,55692,3169,2020,ZCTA5 94603
94605,77939,4650,2020,ZCTA5 94605
94606,63188,3270,2020,ZCTA5 94606
94607,60181,5775,2020,ZCTA5 94607
94608,95716,6315,2020,ZCTA5 94608
94609,95693,11525,2020,ZCTA5 94609
94610,104919,5593,2020,ZCTA5 94610
94611,136538,10453,2020,ZCTA5 94611
94612,59773,10814,2020,ZCTA5 94612
94613,,,2020,ZCTA5 94613
94618,169856,17538,2020,ZCTA5 94618
94619,106875,6949,2020,ZCTA5 94619
94621,40813,5983,2020,ZCTA5 94621
94702,85357,11343,2020,ZCTA5 94702
94703,87114,9370,2020,ZCTA5 94703
94704,46735,8897,2020,ZCTA5 94704
94705,139029,8534,2020,ZCTA5 94705
94706,107669,6996,2020,ZCTA5 94706
94707,161332,17252,2020,ZCTA5 94707
94708,192577,5228,2020,ZCTA5 94708
94709,75721,8559,2020,ZCTA5 94709
94710,97917,10265,2020,ZCTA5 94710
94720,,,2020,ZCTA5 94720
95377,119614,7650,2020,ZCTA5 95377
95391,160902,12523,2020,ZCTA5 95391
