zcta,population
94501,64116
94502,14164
94505,15445
94514,1248
94536,73172
94538,66424
94539,54026
94541,69736
94542,15691
94544,79769
94545,33786
94546,46687
94550,49959
94551,40358
94552,14721
94555,36887
94560,47533
94566,45055
94568,72590
94577,48868
94578,40957
94579,21869
94580,29590
94586,943
94587,70121
94588,36398
94601,54166
94602,29702
94603,36681
94605,44294
94606,40768
94607,31067
94608,33073
94609,23578
94610,31261
94611,40262
94612,19773
94613,346
94618,16946
94619,24867
94621,35816
94702,17637
94703,20805
94704,25259
94705,13591
94706,21134
94707,12781
94708,11553
94709,12514
94710,9552
94720,7478
95377,34590
95391,24709
