zcta,population,land_area_sq_m,land_area_sq_mi,population_per_sq_km,population_per_sq_mi
94501,64116,20529640,7.926538,3123.094219,8088.776894
94502,14164,6532312,2.522140,2168.298146,5615.866418
94505,15445,1679865,0.648600,9194.191200,23812.845892
94514,1248,13616872,5.257504,91.651005,237.375013
94536,73172,36459294,14.077012,2006.950546,5197.978052
94538,66424,42832514,16.537726,1550.784528,4016.513489
94539,54026,64943554,25.074846,831.891645,2154.589471
94541,69736,19306657,7.454342,3612.018383,9355.084667
94542,15691,22411610,8.653171,700.128192,1813.323694
94544,79769,28365189,10.951861,2812.214648,7283.602502
94545,33786,37502643,14.479851,900.896505,2333.311236
94546,46687,41329607,15.957450,1129.626033,2925.717995
94550,49959,431088549,166.444219,115.890343,300.154612
94551,40358,135037835,52.138400,298.864389,774.055213
94552,14721,134161788,51.800156,109.725729,284.188334
94555,36887,35885291,13.855388,1027.914195,2662.285543
94560,47533,51997359,20.076293,914.142582,2367.618418
94566,45055,52631419,20.321104,856.047602,2217.153110
94568,72590,42720484,16.494471,1699.184869,4400.868607
94577,48868,21016638,8.114569,2325.205392,6022.254319
94578,40957,11806793,4.558628,3468.935214,8984.500959
94579,21869,8100531,3.127633,2699.699563,6992.189769
94580,29590,8604834,3.322345,3438.764769,8906.359865
94586,943,144330278,55.726232,6.533626,16.922013
94587,70121,50844440,19.631148,1379.128180,3571.925589
94588,36398,43163791,16.665633,843.253087,2184.015469
94601,54166,8285982,3.199236,6537.064647,16930.919713
94602,29702,9421093,3.637504,3152.712748,8165.488532
94603,36681,6988064,2.698107,5249.093311,13595.089266
94605,44294,22868772,8.829682,1936.877065,5016.488570
94606,40768,6024504,2.326074,6767.030116,17526.527542
94607,31067,15258484,5.891334,2036.047618,5273.339122
94608,33073,7126847,2.751691,4640.621582,12019.154722
94609,23578,4313162,1.665321,5466.523168,14158.230010
94610,31261,5416591,2.091357,5771.342160,14947.707574
94611,40262,17953664,6.931948,2242.550601,5808.179394
94612,19773,2481822,0.958237,7967.130600,20634.773528
94613,346,634710,0.245063,545.130847,1411.882413
94618,16946,6275697,2.423060,2700.257836,6993.635690
94619,24867,21615279,8.345706,1150.436226,2979.616147
94621,35816,22050252,8.513650,1624.289827,4206.891339
94702,17637,3320290,1.281971,5311.885408,13757.720049
94703,20805,3335069,1.287677,6238.251742,16156.997842
94704,25259,2204235,0.851060,11459.304475,29679.462344
94705,13591,8755941,3.380688,1552.203241,4020.187940
94706,21134,3781595,1.460082,5588.647118,14474.529590
94707,12781,2957605,1.141938,4321.401945,11192.379658
94708,11553,3591806,1.386804,3216.487750,8330.665030
94709,12514,1749787,0.675597,7151.727610,18522.889479
94710,9552,5594277,2.159962,1707.459248,4422.299151
94720,7478,1823504,0.704059,4100.895858,10621.271513
95377,34590,30389850,11.733587,1138.208974,2947.947711
95391,24709,48312605,18.653601,511.440027,1324.623589
