GEOID,ZCTA,LAND_AREA
060014001001000,94705,51124
060014001001001,94705,695414
060014001001002,94705,9330
060014001001003,94705,1232350
060014001001004,94705,3524
060014001001005,94705,274262
060014001001006,94705,108118
060014001001007,94705,24719
060014001001008,94705,34695
060014001001009,94704,9932
060014001001010,94705,1121172
060014001001011,94705,772665
060014001001012,94705,83280
060014001001013,94705,22170
060014001001014,94720,177297
060014001001015,94704,52197
060014001001016,94704,40330
060014001001017,94704,16649
060014001001018,94705,299689
060014001001019,94705,64142
060014001001020,94705,9496
060014001001021,94705,10014
060014001001022,94705,8342
060014001001023,94705,135319
060014001001024,94705,7823
060014001001025,94705,16045
060014001001026,94705,291826
060014001001027,94705,26369
060014001001028,94705,3847
060014001001029,94705,579
060014001001030,94705,123330
060014001001031,94705,5460
060014001001032,94705,4914
060014001001033,94705,1240
060014001002000,94611,87679
060014001002001,94705,320663
060014001002002,94611,12427
060014001002003,94705,61255
060014001002004,94705,27803
060014001002005,94705,76704
060014001002006,94705,42542
060014001002007,94618,31354
060014001002008,94618,62719
060014001002009,94618,30115
060014001002010,94618,21692
060014001002011,94618,2771
060014001002012,94618,9356
060014001002013,94618,124424
060014001002014,94618,13076
060014001002015,94618,155097
060014001002016,94618,17438
060014001002017,94618,6626
060014001002018,94611,62315
060014001002019,94618,12522
060014001002020,94611,14611
060014001002021,94611,15005
060014002001000,94618,6721
060014002001001,94618,13359
060014002001002,94618,402
060014002001003,94618,35195
060014002001004,94705,6411
060014002001005,94705,6794
060014002001006,94618,21187
060014002001007,94618,7591
060014002001008,94618,8807
060014002001009,94618,1798
060014002001010,94618,21060
060014002001011,94618,9239
060014002001012,94618,11702
060014002001013,94618,1813
060014002001014,94618,11108
060014002001015,94618,34926
060014002001016,94618,8523
060014002001017,94618,9747
060014002001018,94618,40041
060014002001019,94618,17670
060014002001020,94618,1078
060014002001021,94618,12898
060014002002000,94618,13972
060014002002001,94618,13587
060014002002002,94618,11710
060014002002003,94618,14515
060014002002004,94618,17545
060014002002005,94618,86690
060014002002006,94618,27019
060014002002007,94618,16966
060014002002008,94618,31109
060014002002009,94618,10090
060014002002010,94618,19031
060014002002011,94618,10480
060014002002012,94618,25776
060014003001000,94618,11370
060014003001001,94618,12946
060014003001002,94618,28726
060014003001003,94618,14116
060014003001004,94618,19432
060014003001005,94618,20748
060014003001006,94618,41810
060014003001007,94618,27767
060014003001008,94618,23259
060014003001009,94618,36300
060014003001010,94618,29221
060014003002000,94618,12672
060014003002001,94618,19483
060014003002002,94618,1686
060014003002003,94618,25129
060014003002004,94618,11060
060014003002005,94618,27697
060014003002006,94618,10506
060014003002007,94618,17514
060014003002008,94618,9724
060014003002009,94609,2734
060014003002010,94618,16374
060014003002011,94618,14185
060014003002012,94618,16318
060014003002013,94618,16919
060014003002014,94609,3647
060014003002015,94618,9888
060014003002016,94618,11416
060014003002017,94618,5337
060014003002018,94609,3161
060014003002019,94609,3219
060014003002020,94618,13734
060014003002021,94618,12055
060014003002022,94609,4830
060014003003000,94618,9313
060014003003001,94618,3737
060014003003002,94609,12684
060014003003003,94618,1461
060014003003004,94609,29259
060014003003005,94618,34717
060014003003006,94618,38743
060014003003007,94618,17656
060014003003008,94618,20189
060014003003009,94618,15900
060014003003010,94618,1159
060014003003011,94609,8959
060014003003012,94609,11027
060014003003013,94609,2647
060014003003014,94609,5267
060014003003015,94609,4366
060014003003016,94609,1115
060014003003017,94618,8592
060014003003018,94609,45219
060014003003019,94609,5052
060014003003020,94609,8312
060014003003021,94609,7356
060014003003022,94609,4714
060014003004000,94618,9122
060014003004001,94618,8283
060014003004002,94618,12871
060014003004003,94618,16108
060014003004004,94618,15978
060014003004005,94618,16282
060014003004006,94618,20173
060014003004007,94618,20428
060014003004008,94618,20333
060014003004009,94618,20250
060014003004010,94618,17330
060014003004011,94618,20326
060014003004012,94618,16086
060014003004013,94618,16232
060014003004014,94618,16330
060014003004015,94618,16203
060014003004016,94618,16078
060014004001000,94618,14243
060014004001001,94618,28316
060014004001002,94618,28295
060014004001003,94618,27999
060014004001004,94618,20854
060014004001005,94618,18820
060014004001006,94618,20116
060014004001007,94618,22198
060014004001008,94618,21864
060014004001009,94618,20453
060014004001010,94618,21893
060014004001011,94618,22305
060014004002000,94609,26679
060014004002001,94609,10077
060014004002002,94609,11486
060014004002003,94609,8671
