zcta,BlockCode,TechCategory,max_ad_down,max_ad_up
94501,060014271001001,Copper (DSL/VDSL),100.0,20.0
94501,060014271001003,Copper (DSL/VDSL),75.0,20.0
94501,060014271001004,Copper (DSL/VDSL),75.0,20.0
94501,060014271001005,Copper (DSL/VDSL),50.0,10.0
94501,060014271001007,Copper (DSL/VDSL),50.0,10.0
94501,060014271001007,Fiber to the Premises,1000.0,1000.0
94501,060014271001010,Copper (DSL/VDSL),50.0,10.0
94501,060014271001010,Fiber to the Premises,1000.0,1000.0
94501,060014271001013,Copper (DSL/VDSL),50.0,10.0
94501,060014271001016,Copper (DSL/VDSL),100.0,20.0
94501,060014271001016,Fiber to the Premises,1000.0,1000.0
94501,060014271001018,Copper (DSL/VDSL),50.0,10.0
94501,060014271001018,Fiber to the Premises,1000.0,1000.0
94501,060014271001021,Copper (DSL/VDSL),3.0,0.384
94501,060014271001021,Fiber to the Premises,1000.0,1000.0
94501,060014271001022,Copper (DSL/VDSL),100.0,20.0
94501,060014271001022,Fiber to the Premises,1000.0,1000.0
94501,060014271001024,Copper (DSL/VDSL),75.0,20.0
94501,060014271001024,Fiber to the Premises,1000.0,1000.0
94501,060014271001025,Copper (DSL/VDSL),75.0,20.0
94501,060014271001025,Fiber to the Premises,1000.0,1000.0
94501,060014271002000,Copper (DSL/VDSL),25.0,5.0
94501,060014271002000,Fiber to the Premises,1000.0,1000.0
94501,060014271002001,Copper (DSL/VDSL),25.0,5.0
94501,060014271002001,Fiber to the Premises,1000.0,1000.0
94501,060014271002002,Copper (DSL/VDSL),25.0,5.0
94501,060014271002002,Fiber to the Premises,1000.0,1000.0
94501,060014271002003,Copper (DSL/VDSL),25.0,5.0
94501,060014271002003,Fiber to the Premises,1000.0,1000.0
94501,060014271002004,Copper (DSL/VDSL),25.0,5.0
94501,060014271002004,Fiber to the Premises,1000.0,1000.0
94501,060014271002005,Copper (DSL/VDSL),25.0,5.0
94501,060014271002005,Fiber to the Premises,1000.0,1000.0
94501,060014271002006,Copper (DSL/VDSL),25.0,5.0
94501,060014271002006,Fiber to the Premises,1000.0,1000.0
94501,060014271002007,Copper (DSL/VDSL),50.0,10.0
94501,060014271002007,Fiber to the Premises,1000.0,1000.0
94501,060014271002008,Copper (DSL/VDSL),25.0,5.0
94501,060014271002008,Fiber to the Premises,1000.0,1000.0
94501,060014271002009,Copper (DSL/VDSL),18.0,1.5
94501,060014271002009,Fiber to the Premises,1000.0,1000.0
94501,060014271002010,Copper (DSL/VDSL),25.0,5.0
94501,060014271002010,Fiber to the Premises,1000.0,1000.0
94501,060014271002011,Copper (DSL/VDSL),3.0,1.0
94501,060014271002011,Fiber to the Premises,1000.0,1000.0
94501,060014271002012,Copper (DSL/VDSL),25.0,5.0
94501,060014271002012,Fiber to the Premises,1000.0,1000.0
