zcta,TechCategory,block_count,median_advertised_download_mbps,median_advertised_upload_mbps,p75_advertised_download_mbps,p75_advertised_upload_mbps,max_advertised_download_mbps,max_advertised_upload_mbps
94501,Copper (DSL/VDSL),412,50.0,10.0,100.0,20.0,100.0,20.0
94501,Fiber to the Premises,393,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94501,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94502,Copper (DSL/VDSL),93,100.0,20.0,100.0,20.0,100.0,20.0
94502,Fiber to the Premises,18,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94536,Copper (DSL/VDSL),275,75.0,20.0,100.0,20.0,100.0,20.0
94536,Fiber to the Premises,129,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94538,Copper (DSL/VDSL),252,75.0,20.0,100.0,20.0,100.0,20.0
94538,Fiber to the Premises,162,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94538,Fixed Wireless,3,200.0,200.0,200.0,200.0,200.0,200.0
94538,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94539,Copper (DSL/VDSL),257,75.0,20.0,100.0,20.0,100.0,20.0
94539,Fiber to the Premises,59,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94541,Copper (DSL/VDSL),241,75.0,20.0,100.0,20.0,100.0,20.0
94541,Fiber to the Premises,169,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94541,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94542,Copper (DSL/VDSL),52,50.0,10.0,100.0,20.0,100.0,20.0
94542,Fiber to the Premises,6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94544,Copper (DSL/VDSL),399,50.0,10.0,100.0,20.0,100.0,20.0
94544,Fiber to the Premises,234,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94544,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94545,Copper (DSL/VDSL),186,50.0,10.0,75.0,20.0,100.0,20.0
94545,Fiber to the Premises,88,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94546,Copper (DSL/VDSL),207,75.0,20.0,100.0,20.0,100.0,20.0
94546,Fiber to the Premises,144,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94550,Copper (DSL/VDSL),420,75.0,20.0,100.0,20.0,100.0,20.0
94550,Fiber to the Premises,19,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94551,Copper (DSL/VDSL),331,75.0,20.0,100.0,20.0,100.0,20.0
94551,Fiber to the Premises,50,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94552,Copper (DSL/VDSL),96,62.5,15.0,100.0,20.0,100.0,20.0
94552,Fiber to the Premises,11,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94555,Copper (DSL/VDSL),162,75.0,20.0,100.0,20.0,100.0,20.0
94555,Fiber to the Premises,1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94560,Copper (DSL/VDSL),225,75.0,20.0,100.0,20.0,100.0,20.0
94560,Fiber to the Premises,77,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94560,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0
94560,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94566,Copper (DSL/VDSL),278,75.0,20.0,100.0,20.0,100.0,20.0
94566,Fiber to the Premises,40,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94566,Fixed Wireless,1,30.0,3.0,30.0,3.0,30.0,3.0
94568,Copper (DSL/VDSL),190,100.0,20.0,100.0,20.0,100.0,20.0
94568,Fiber to the Premises,79,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94568,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94577,Copper (DSL/VDSL),303,50.0,10.0,100.0,20.0,100.0,20.0
94577,Fiber to the Premises,256,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94577,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94578,Copper (DSL/VDSL),214,75.0,20.0,100.0,20.0,100.0,20.0
94578,Fiber to the Premises,119,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94579,Copper (DSL/VDSL),149,75.0,20.0,100.0,20.0,100.0,20.0
94579,Fiber to the Premises,101,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94579,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94580,Copper (DSL/VDSL),173,50.0,10.0,100.0,20.0,100.0,20.0
94580,Fiber to the Premises,129,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94586,Copper (DSL/VDSL),24,18.0,1.5,25.0,2.0,100.0,20.0
94587,Copper (DSL/VDSL),424,75.0,20.0,100.0,20.0,100.0,20.0
94587,Fiber to the Premises,149,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94588,Copper (DSL/VDSL),124,25.0,5.0,100.0,20.0,100.0,20.0
94588,Fiber to the Premises,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94588,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0
94601,Copper (DSL/VDSL),290,75.0,20.0,100.0,20.0,100.0,20.0
94601,Fiber to the Premises,233,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94602,Copper (DSL/VDSL),213,50.0,10.0,75.0,20.0,100.0,20.0
94602,Fiber to the Premises,205,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94603,Copper (DSL/VDSL),218,50.0,10.0,100.0,20.0,100.0,20.0
94603,Fiber to the Premises,195,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94605,Copper (DSL/VDSL),310,50.0,10.0,100.0,20.0,100.0,20.0
94605,Fiber to the Premises,288,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94606,Copper (DSL/VDSL),274,100.0,20.0,100.0,20.0,100.0,20.0
94606,Fiber to the Premises,115,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94607,Copper (DSL/VDSL),260,50.0,10.0,100.0,20.0,100.0,20.0
94607,Fiber to the Premises,66,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94607,Other/Unknown,2,0.416,0.416,0.416,0.416,0.416,0.416
94608,Copper (DSL/VDSL),265,75.0,20.0,100.0,20.0,100.0,20.0
94608,Fiber to the Premises,198,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94608,Fixed Wireless,3,200.0,200.0,200.0,200.0,200.0,200.0
94609,Copper (DSL/VDSL),176,100.0,20.0,100.0,20.0,100.0,20.0
94609,Fiber to the Premises,109,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94610,Copper (DSL/VDSL),195,75.0,20.0,100.0,20.0,100.0,20.0
94610,Fiber to the Premises,128,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94610,Fixed Wireless,1,300.0,50.0,300.0,50.0,300.0,50.0
94611,Copper (DSL/VDSL),289,50.0,10.0,100.0,20.0,100.0,20.0
94611,Fiber to the Premises,234,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94612,Copper (DSL/VDSL),69,50.0,10.0,100.0,20.0,100.0,20.0
94612,Fiber to the Premises,25,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94613,Copper (DSL/VDSL),3,25.0,5.0,62.5,12.5,100.0,20.0
94613,Fiber to the Premises,4,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94618,Copper (DSL/VDSL),153,50.0,10.0,100.0,20.0,100.0,20.0
94618,Fiber to the Premises,139,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94619,Copper (DSL/VDSL),185,50.0,10.0,100.0,20.0,100.0,20.0
94619,Fiber to the Premises,159,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94621,Copper (DSL/VDSL),265,100.0,20.0,100.0,20.0,100.0,20.0
94621,Fiber to the Premises,120,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94621,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416
94702,Copper (DSL/VDSL),201,100.0,20.0,100.0,20.0,100.0,20.0
94702,Fiber to the Premises,53,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94703,Copper (DSL/VDSL),161,100.0,20.0,100.0,20.0,100.0,20.0
94703,Fiber to the Premises,51,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
94704,Copper (DSL/VDSL),78,100.0,20.0,100.0,20.0,100.0,20.0
